N    |  logged   accept
2155 |    773,   35.87 %
2160 |    753,   34.86 %
2165 |   1912,   88.31 %
2170 |   1107,   51.01 %
2175 |   1739,   79.95 %
2180 |   1134,   52.02 %
2185 |   1698,   77.71 %
2190 |    470,   21.46 %
2195 |   1350,   61.50 %
2200 |   2014,   91.55 %
2205 |   1262,   57.23 %
2210 |    745,   33.71 %
2215 |   1064,   48.04 %
2220 |   1427,   64.28 %
2225 |   2183,   98.11 %
2230 |   1579,   70.81 %
2235 |   1942,   86.89 %
2240 |    919,   41.03 %
2245 |   1339,   59.64 %
2250 |   1196,   53.16 %
2255 |    793,   35.17 %
2260 |    879,   38.89 %
2265 |    648,   28.61 %
2270 |    591,   26.04 %
2275 |    898,   39.47 %
2280 |    926,   40.61 %
2285 |    865,   37.86 %
2290 |   1095,   47.82 %
2295 |    892,   38.87 %
2300 |   1755,   76.30 %
2305 |   1269,   55.05 %
2310 |    795,   34.42 %
2315 |    494,   21.34 %
2320 |    886,   38.19 %
2325 |   1784,   76.73 %
2330 |   1081,   46.39 %
2335 |   1538,   65.87 %
2340 |   1353,   57.82 %
2345 |   1090,   46.48 %
2350 |   1540,   65.53 %
2355 |   1314,   55.80 %
2360 |    608,   25.76 %
2365 |    508,   21.48 %
2370 |   1689,   71.27 %
2375 |   1756,   73.94 %
2380 |   2160,   90.76 %
2385 |   1186,   49.73 %
2390 |   1886,   78.91 %
2395 |   1603,   66.93 %
2400 |    214,   8.92 %
2405 |   1642,   68.27 %
2410 |   2351,   97.55 %
2415 |   1995,   82.61 %
2420 |   1766,   72.98 %
2425 |   2042,   84.21 %
2430 |   1328,   54.65 %
2435 |    230,   9.45 %
2440 |   1139,   46.68 %
2445 |   1876,   76.73 %
2450 |   2243,   91.55 %
2455 |   1830,   74.54 %
2460 |   1899,   77.20 %
2465 |   1063,   43.12 %
2470 |   1318,   53.36 %
2475 |   1454,   58.75 %
2480 |   1361,   54.88 %
2485 |   1113,   44.79 %
2490 |   1939,   77.87 %
2495 |   1086,   43.53 %
2500 |   1854,   74.16 %
2505 |   1858,   74.17 %
2510 |   1201,   47.85 %
2515 |   1692,   67.28 %
2520 |   1825,   72.42 %
2525 |   2403,   95.17 %
2530 |   2143,   84.70 %
2535 |   1511,   59.61 %
2540 |    422,   16.61 %
2545 |   1574,   61.85 %
2550 |   1859,   72.90 %
2555 |   2130,   83.37 %
2560 |   1756,   68.59 %
2565 |    980,   38.21 %
2570 |    788,   30.66 %
2575 |   1226,   47.61 %
2580 |   1755,   68.02 %
2585 |   1607,   62.17 %
2590 |   1623,   62.66 %
2595 |   2099,   80.89 %
2600 |   1319,   50.73 %
2605 |   1529,   58.69 %
2610 |   1975,   75.67 %
2615 |   1750,   66.92 %
2620 |   1543,   58.89 %
2625 |   1877,   71.50 %
2630 |   2381,   90.53 %
2635 |   2217,   84.14 %
2640 |   2235,   84.66 %
2645 |    195,   7.37 %
2650 |   1039,   39.21 %
2655 |   1330,   50.09 %
2660 |   2508,   94.29 %
2665 |   1624,   60.94 %
2670 |   2051,   76.82 %
2675 |   1725,   64.49 %
2680 |   2042,   76.19 %
2685 |   1256,   46.78 %
2690 |   1516,   56.36 %
2695 |   1949,   72.32 %
2700 |   2633,   97.52 %
2705 |   2612,   96.56 %
2710 |   1788,   65.98 %
2715 |   1247,   45.93 %
2720 |   1720,   63.24 %
2725 |   2590,   95.05 %
2730 |   1991,   72.93 %
2735 |   2361,   86.33 %
2740 |   1436,   52.41 %
2745 |   1122,   40.87 %
2750 |   2380,   86.55 %
2755 |   2755,   100.00 %
2760 |   2746,   99.49 %
2765 |   1003,   36.27 %
2770 |   1358,   49.03 %
2775 |   1573,   56.68 %
2780 |   2126,   76.47 %
2785 |   1498,   53.79 %
2790 |   2244,   80.43 %
2795 |   1344,   48.09 %
2800 |   1380,   49.29 %
2805 |   1281,   45.67 %
2810 |   1049,   37.33 %
2815 |   1475,   52.40 %
2820 |   1457,   51.67 %
